"variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"BIOMASS",1,57438587167837.9,64719700346275.1,7281113178437.24,12.6763444880034,"Total aboveground biomass"
"BIOMASS",2,3115446621866.47,4698212570008.39,1582765948141.92,50.8038217388452,"Total aboveground biomass"
"CARBON",1,28719293654464.8,31460226585753,2740932931288.25,9.54387306410002,"Total aboveground carbon"
"CARBON",2,1557723315053.69,2315202874393.89,757479559340.205,48.6273494156502,"Total aboveground carbon"
"VMERIB",1,1295690071012.07,1316577231687.26,20887160675.1838,1.61204914218944,"Merchantable wood volume"
"VMERIB",2,101962626361.677,103566534289.415,1603907927.73848,1.57303512568338,"Merchantable wood volume"
"VSAWIB",1,870184871500.225,876260937430.777,6076065930.552,0.698250007504346,"Sawlog wood volume"
"WMERBCH",1,9026797380844.56,14992519565082.2,5965722184237.63,66.0890228565147,"Top and limb weight"
"WMERBCH",2,272893757008.547,829771029196.769,556877272188.222,204.06376396906,"Top and limb weight"
"WMEROB",1,43137610431069.8,44019324893432.7,881714462362.828,2.04395758956498,"Merch bole wood and bark weight"
"WMEROB",2,2562329891013.49,3526206953453.42,963877062439.937,37.6172118125934,"Merch bole wood and bark weight"
"WSTPOB",1,2359691788143.02,2265197781493.52,-94494006649.4951,-4.00450631410038,"Stump wood and bark weight"
"WSTPOB",2,164926308863.828,218471949678.908,53545640815.08,32.4664034403935,"Stump wood and bark weight"
