DESIGNCD,min_DIA,max_DIA,TPA_UNADJ
1,5,Inf,6.018046
1,1,5,74.965282
111,5,Inf,6.018046
111,1,5,74.965282
112,5,Inf,6.018046
112,1,5,74.965282
113,5,Inf,6.018046
113,1,5,74.965282
115,5,Inf,6.018046
115,1,5,74.965282
116,5,Inf,6.018046
117,5,Inf,6.018046
118,5,Inf,6.018046
312,5,Inf,6.018046
314,5,Inf,6.018046
316,5,Inf,6.018046
317,5,Inf,6.018046
317,1,5,74.965282
319,5,Inf,6.018046
319,1,5,74.965282
321,5,Inf,6.018046
321,1,5,74.965282
323,5,Inf,6.018046
323,1,5,74.965282
501,24,Inf,0.999188
502,30,Inf,0.999188
601,5,Inf,6.018046
601,1,5,74.965282
602,5,Inf,6.018046
603,5,Inf,6.018046
