"","DESIGNCD","min_DIA","max_DIA","TPA_2"
"1","1",5,Inf,6.018046
"2","1",1,4.9,74.965282
"3","101",5,Inf,6.018046
"4","111",5,Inf,6.018046
"5","111",1,4.9,74.965282
"6","112",5,Inf,6.018046
"7","112",1,4.9,74.965282
"8","113",5,Inf,6.018046
"9","113",1,4.9,74.965282
"10","115",5,Inf,6.018046
"11","115",1,4.9,74.965282
"12","116",5,Inf,6.018046
"13","117",5,Inf,6.018046
"14","118",5,Inf,6.018046
"15","311",5,Inf,6.018046
"16","312",5,Inf,6.018046
"17","313",5,Inf,6.018046
"18","314",5,Inf,6.018046
"19","315",5,Inf,6.018046
"20","316",5,Inf,6.018046
"21","317",5,Inf,6.018046
"22","317",1,4.9,74.965282
"23","318",5,Inf,6.018046
"24","318",1,4.9,74.965282
"25","319",5,Inf,6.018046
"26","319",1,4.9,74.965282
"27","320",5,Inf,6.018046
"28","320",1,4.9,74.965282
"29","321",5,Inf,6.018046
"30","321",1,4.9,74.965282
"31","322",1,4.9,74.965282
"32","322",5,Inf,6.018046
"33","323",5,Inf,6.018046
"34","323",1,4.9,74.965282
"35","328",5,Inf,6.018046
"36","220",5,Inf,6.018046
"37","220",1,4.9,74.965282
"38","403",0,4.9,74.965282
"39","404",0,4.9,74.965282
"40","405",0,4.9,74.965282
"41","420",1,2.9,74.965282
"42","420",1,4.9,74.965282
"43","421",1,2.9,74.965282
"44","421",1,4.9,74.965282
"45","422",1,2.9,74.965282
"46","422",1,4.9,74.965282
"47","423",1,2.9,74.965282
"48","423",1,4.9,74.965282
"49","424",1,2.9,74.965282
"50","424",1,4.9,74.965282
"51","425",1,2.9,74.965282
"52","425",1,4.9,74.965282
"53","501",24,Inf,0.999188
"54","502",30,Inf,0.999188
"55","503",74,Inf,0.999188
"56","504",24,Inf,0.999188
"57","505",30,Inf,0.999188
"58","506",24,Inf,0.999188
"59","601",5,Inf,6.018046
"60","601",1,4.9,74.965282
"61","602",5,Inf,6.018046
"62","603",5,Inf,6.018046
